Date,ISO_A3,Country,Count,Area_km2,CoverageFraction
2018-09-19,CHN,China,58,9375215.38301177,0.43180341
2018-09-19,USA,United States,25,9464215.58286383,0.18437189
2018-09-20,AUS,Australia,55,7691170.15508614,0.49912531
2018-09-20,CHN,China,44,9375215.38301177,0.32757500
2018-09-23,CHN,China,17,9375215.38301177,0.12656307
2018-09-23,MAR,Morocco,29,591742.63539455,3.42061709
2018-09-23,PHL,Philippines,27,293290.68495643,6.42546881
2018-09-23,PRT,Portugal,19,91390.15295365,14.51087236
2018-09-23,ESP,Spain,11,506884.92664267,1.51468608
2018-09-23,TWN,"Taiwan, Province of China",6,36197.85881150,11.56931628
2018-09-24,CHN,China,37,9375215.38301177,0.27546079
2018-09-24,IND,India,8,3150744.48103565,0.17722139
2018-09-24,KGZ,Kyrgyzstan,5,198990.02556716,1.75379175
2018-09-24,NPL,Nepal,9,147105.82005225,4.27023700
2018-09-25,MEX,Mexico,15,1957845.07873307,0.53475181
2018-09-25,USA,United States,43,9464215.58286383,0.31711965
2018-09-26,CHN,China,47,9375215.38301177,0.34990966
2018-09-26,TWN,"Taiwan, Province of China",7,36197.85881150,13.49753566
2018-09-28,CHN,China,38,9375215.38301177,0.28290568
2018-09-28,CYP,Cyprus,2,5395.03684232,25.87467515
2018-09-28,IND,India,10,3150744.48103565,0.22152673
2018-09-28,JOR,Jordan,2,88862.65346267,1.57090544
2018-09-28,LBN,Lebanon,1,10004.07572497,6.97689769
2018-09-28,NPL,Nepal,7,147105.82005225,3.32129544
2018-09-28,SYR,Syrian Arab Republic,3,185939.60365249,1.12613039
2018-09-28,TUR,Türkiye,10,780080.23235975,0.89474659
2018-09-28,UKR,Ukraine,9,571999.26792348,1.09821245
2018-09-30,IDN,Indonesia,27,1879826.21452378,1.00250232
2018-09-30,MYS,Malaysia,20,327884.63949572,4.25743719
2018-09-30,THA,Thailand,2,514453.47272728,0.27134587
2018-09-30,VNM,Viet Nam,3,328891.93520732,0.63665969
2018-10-01,CHN,China,58,9375215.38301177,0.43180341
2018-10-02,CHN,China,55,9375215.38301177,0.40946875
2018-10-02,JPN,Japan,18,373506.74128256,3.36367003
2018-10-02,KAZ,Kazakhstan,1,2714265.36194973,0.02571503
2018-10-02,NPL,Nepal,3,147105.82005225,1.42341233
2018-10-02,RUS,Russian Federation,22,16980189.53670734,0.09043145
2018-10-03,CUB,Cuba,2,109929.29005061,1.26986016
2018-10-03,FRA,France,26,636756.71878227,2.84996244
2018-10-03,ESP,Spain,7,506884.92664267,0.96389114
2018-10-03,GBR,United Kingdom,26,243782.51391268,7.44406441
2018-10-03,USA,United States,57,9464215.58286383,0.42036791
2018-10-04,CHN,China,59,9375215.38301177,0.43924829
2018-10-05,CHN,China,59,9375215.38301177,0.43924829
2018-10-05,USA,United States,59,9464215.58286383,0.43511766
2018-10-06,AUS,Australia,12,7691170.15508614,0.10890007
2018-10-06,CHN,China,54,9375215.38301177,0.40202386
2018-10-06,IDN,Indonesia,44,1879826.21452378,1.63370749
2018-10-06,KAZ,Kazakhstan,4,2714265.36194973,0.10286012
2018-10-06,NPL,Nepal,1,147105.82005225,0.47447078
2018-10-07,BGR,Bulgaria,1,112759.88481307,0.61899152
2018-10-07,POL,Poland,16,313427.82926456,3.56304866
2018-10-07,ROU,Romania,15,236377.05047618,4.42919983
2018-10-07,RUS,Russian Federation,6,16980189.53670734,0.02466312
2018-10-07,SWE,Sweden,16,446172.74814545,2.50297359
2018-10-07,UKR,Ukraine,5,571999.26792348,0.61011803
2018-10-08,CHN,China,59,9375215.38301177,0.43924829
2018-10-09,CHN,China,58,9375215.38301177,0.43180341
2018-10-09,IND,India,1,3150744.48103565,0.02215267
2018-10-10,BLR,Belarus,15,207499.41767193,5.04561027
2018-10-10,EST,Estonia,6,45818.95253801,9.13998365
2018-10-10,FIN,Finland,9,333059.50130215,1.88607955
2018-10-10,LVA,Latvia,7,64576.28507153,7.56596465
2018-10-10,UKR,Ukraine,22,571999.26792348,2.68451932
2018-10-11,BLR,Belarus,7,207499.41767193,2.35461813
2018-10-11,EST,Estonia,3,45818.95253801,4.56999183
2018-10-11,LVA,Latvia,6,64576.28507153,6.48511256
2018-10-11,LTU,Lithuania,8,64938.83615112,8.59854189
2018-10-11,ROU,Romania,9,236377.05047618,2.65751990
2018-10-11,SWE,Sweden,5,446172.74814545,0.78217925
2018-10-11,UKR,Ukraine,11,571999.26792348,1.34225966
2018-10-12,CHN,China,9,9375215.38301177,0.06700398
2018-10-12,IND,India,41,3150744.48103565,0.90825960
2018-10-12,KGZ,Kyrgyzstan,2,198990.02556716,0.70151670
2018-10-12,PAK,Pakistan,7,872939.07481132,0.55969758
2018-10-13,CHN,China,86,9375215.38301177,0.64026022
2018-10-13,MNG,Mongolia,16,1564663.96587071,0.71373703
2018-10-13,RUS,Russian Federation,16,16980189.53670734,0.06576832
2018-10-15,CHN,China,80,9375215.38301177,0.59559091
2018-10-15,IND,India,38,3150744.48103565,0.84180158
2018-10-16,CHN,China,54,9375215.38301177,0.40202386
2018-10-17,GEO,Georgia,6,69570.87376755,6.01953741
2018-10-17,RUS,Russian Federation,41,16980189.53670734,0.16853133
2018-10-17,TUR,Türkiye,4,780080.23235975,0.35789864
2018-10-17,UKR,Ukraine,8,571999.26792348,0.97618884
2018-10-18,CHN,China,29,9375215.38301177,0.21590170
2018-10-18,JPN,Japan,11,373506.74128256,2.05557613
2018-10-18,PRK,"Korea, Democratic People's Republic of",5,122379.34624896,2.85168270
2018-10-18,KOR,"Korea, Republic of",1,98543.93686318,0.70828724
2018-10-18,RUS,Russian Federation,9,16980189.53670734,0.03699468
2018-10-20,CHN,China,33,9375215.38301177,0.24568125
2018-10-20,VNM,Viet Nam,1,328891.93520732,0.21221990
2018-10-21,CHN,China,21,9375215.38301177,0.15634261
2018-10-22,AUS,Australia,59,7691170.15508614,0.53542534
2018-10-24,CHN,China,55,9375215.38301177,0.40946875
2018-10-24,IND,India,59,3150744.48103565,1.30700772
2018-10-24,MNG,Mongolia,2,1564663.96587071,0.08921713
2018-10-26,BWA,Botswana,13,579029.29653917,1.56704742
2018-10-26,CHN,China,59,9375215.38301177,0.43924829
2018-10-26,LSO,Lesotho,2,30106.43679501,4.63671030
2018-10-26,ZAF,South Africa,22,1219824.63469113,1.25882282
2018-10-26,ZMB,Zambia,16,751914.27911061,1.48522064
2018-10-26,ZWE,Zimbabwe,6,389338.22131714,1.07563156
2018-10-27,CHN,China,59,9375215.38301177,0.43924829
2018-10-28,AUS,Australia,59,7691170.15508614,0.53542534
2018-10-29,CHN,China,101,9375215.38301177,0.75193352
2018-10-29,MNG,Mongolia,6,1564663.96587071,0.26765138
2018-10-29,TWN,"Taiwan, Province of China",8,36197.85881150,15.42575504
2018-10-30,BTN,Bhutan,1,40421.32194733,1.72674741
2018-10-30,CHN,China,117,9375215.38301177,0.87105170
2018-10-31,CHN,China,46,9375215.38301177,0.34246477
2018-11-01,FRO,Faroe Islands,4,1328.53186253,210.14900683
2018-11-01,ISL,Iceland,26,102390.32254952,17.72367436
2018-11-01,IRL,Ireland,13,69445.20387884,13.06593280
2018-11-01,GBR,United Kingdom,16,243782.51391268,4.58096271
2018-11-02,CHN,China,26,9375215.38301177,0.19356704
2018-11-02,THA,Thailand,29,514453.47272728,3.93451513
2018-11-03,BGD,Bangladesh,7,136903.70734661,3.56879956
2018-11-03,BTN,Bhutan,4,40421.32194733,6.90698963
2018-11-03,CHN,China,43,9375215.38301177,0.32013011
2018-11-03,IND,India,5,3150744.48103565,0.11076337
2018-11-05,KHM,Cambodia,6,181059.66369856,2.31296396
2018-11-05,CHN,China,15,9375215.38301177,0.11167329
2018-11-05,LAO,Lao People's Democratic Republic,8,228113.97375204,2.44780841
2018-11-05,VNM,Viet Nam,24,328891.93520732,5.09327755
2018-11-06,CHN,China,18,9375215.38301177,0.13400795
2018-11-06,IND,India,47,3150744.48103565,1.04117564
2018-11-06,MMR,Myanmar,10,663159.44731143,1.05249821
2018-11-06,THA,Thailand,28,514453.47272728,3.79884220
2018-11-07,BGD,Bangladesh,10,136903.70734661,5.09828508
2018-11-07,BTN,Bhutan,4,40421.32194733,6.90698963
2018-11-07,CHN,China,33,9375215.38301177,0.24568125
2018-11-07,IND,India,9,3150744.48103565,0.19937406
2018-11-09,AUS,Australia,59,7691170.15508614,0.53542534
2018-11-10,IRN,"Iran, Islamic Republic of",17,1622508.75844547,0.73130947
2018-11-10,IRQ,Iraq,1,437366.87306604,0.15958550
2018-11-10,KWT,Kuwait,1,17473.54803353,3.99446138
2018-11-10,QAT,Qatar,8,11150.14115973,50.07822725
2018-11-10,SAU,Saudi Arabia,13,1921725.08351548,0.47216242
2018-11-10,ARE,United Arab Emirates,6,71085.00129711,5.89131982
2018-11-10,YEM,Yemen,13,453074.83013750,2.00268544
2018-11-11,CHN,China,23,9375215.38301177,0.17123239
2018-11-11,PHL,Philippines,23,293290.68495643,5.47354750
2018-11-11,TWN,"Taiwan, Province of China",13,36197.85881150,25.06685194
2018-11-13,CHN,China,38,9375215.38301177,0.28290568
2018-11-13,IND,India,2,3150744.48103565,0.04430535
2018-11-13,KAZ,Kazakhstan,5,2714265.36194973,0.12857515
2018-11-13,KGZ,Kyrgyzstan,6,198990.02556716,2.10455009
2018-11-13,MEX,Mexico,19,1957845.07873307,0.67735229
2018-11-13,NPL,Nepal,8,147105.82005225,3.79576622
2018-11-13,USA,United States,40,9464215.58286383,0.29499503
2018-11-14,MEX,Mexico,1,1957845.07873307,0.03565012
2018-11-14,USA,United States,38,9464215.58286383,0.28024527
2018-11-15,CAN,Canada,8,9945627.56173987,0.05614319
2018-11-15,USA,United States,51,9464215.58286383,0.37611866
2018-11-16,AUT,Austria,2,83993.19562862,1.66197779
2018-11-16,CHN,China,28,9375215.38301177,0.20845682
2018-11-16,DNK,Denmark,3,42695.87180274,4.90427364
2018-11-16,DEU,Germany,25,357673.53753233,4.87856981
2018-11-16,ITA,Italy,29,301184.48544304,6.72054860
2018-11-16,MYS,Malaysia,5,327884.63949572,1.06435930
2018-11-16,MEX,Mexico,13,1957845.07873307,0.46345157
2018-11-16,PHL,Philippines,18,293290.68495643,4.28364587
2018-11-16,VNM,Viet Nam,8,328891.93520732,1.69775918
2018-11-18,CHN,China,9,9375215.38301177,0.06700398
2018-11-18,LAO,Lao People's Democratic Republic,2,228113.97375204,0.61195210
2018-11-19,IND,India,7,3150744.48103565,0.15506871
2018-11-19,MMR,Myanmar,27,663159.44731143,2.84174516
2018-11-20,USA,United States,31,9464215.58286383,0.22862114
2018-11-23,CHN,China,36,9375215.38301177,0.26801591
2018-11-24,CHN,China,39,9375215.38301177,0.29035057
2018-11-24,CHN,Hong Kong,2,9375215.38301177,0.01488977
2018-11-26,IND,India,47,3150744.48103565,1.04117564
2018-11-27,IND,India,2,3150744.48103565,0.04430535
2018-11-27,MMR,Myanmar,19,663159.44731143,1.99974659
2018-11-27,THA,Thailand,12,514453.47272728,1.62807523
2018-12-07,BRN,Brunei Darussalam,6,5716.63435283,73.25717395
2018-12-07,CHN,China,2,9375215.38301177,0.01488977
2018-12-07,MYS,Malaysia,5,327884.63949572,1.06435930
2018-12-07,VNM,Viet Nam,25,328891.93520732,5.30549744
2018-12-12,KHM,Cambodia,9,181059.66369856,3.46944594
2018-12-12,CHN,China,19,9375215.38301177,0.14145284
2018-12-12,LAO,Lao People's Democratic Republic,7,228113.97375204,2.14183236
2018-12-12,THA,Thailand,12,514453.47272728,1.62807523
2018-12-12,VNM,Viet Nam,9,328891.93520732,1.90997908
2018-12-17,IND,India,48,3150744.48103565,1.06332831
2018-12-17,LKA,Sri Lanka,8,66291.14518003,8.42313557
2019-01-25,CHN,China,28,9375215.38301177,0.20845682
2019-01-25,JPN,Japan,13,373506.74128256,2.42931724
2019-01-25,PRK,"Korea, Democratic People's Republic of",11,122379.34624896,6.27370194
2019-01-25,KOR,"Korea, Republic of",2,98543.93686318,1.41657448
2019-01-25,RUS,Russian Federation,5,16980189.53670734,0.02055260
2019-01-26,CHN,China,59,9375215.38301177,0.43924829
2019-01-27,CHN,China,45,9375215.38301177,0.33501988
2019-01-29,CHN,China,57,9375215.38301177,0.42435852
2019-01-29,CHN,Hong Kong,2,9375215.38301177,0.01488977
2019-02-05,CHN,China,59,9375215.38301177,0.43924829
2019-02-07,CHN,China,54,9375215.38301177,0.40202386
2019-02-07,VNM,Viet Nam,5,328891.93520732,1.06109949
2019-02-08,KHM,Cambodia,10,181059.66369856,3.85493994
2019-02-08,CHN,China,17,9375215.38301177,0.12656307
2019-02-08,LAO,Lao People's Democratic Republic,8,228113.97375204,2.44780841
2019-02-08,THA,Thailand,16,514453.47272728,2.17076697
2019-02-08,VNM,Viet Nam,8,328891.93520732,1.69775918
2019-02-15,CHN,China,59,9375215.38301177,0.43924829
2019-02-17,CHN,China,4,9375215.38301177,0.02977955
2019-02-17,IND,India,7,3150744.48103565,0.15506871
2019-02-17,MMR,Myanmar,19,663159.44731143,1.99974659
2019-02-17,THA,Thailand,28,514453.47272728,3.79884220
2019-02-19,CHN,China,41,9375215.38301177,0.30524034
2019-02-19,IND,India,14,3150744.48103565,0.31013742
2019-02-19,NPL,Nepal,4,147105.82005225,1.89788311
2019-02-20,KHM,Cambodia,5,181059.66369856,1.92746997
2019-02-20,CHN,China,15,9375215.38301177,0.11167329
2019-02-20,LAO,Lao People's Democratic Republic,12,228113.97375204,3.67171261
2019-02-20,THA,Thailand,8,514453.47272728,1.08538348
2019-02-20,VNM,Viet Nam,19,328891.93520732,4.03217806
2019-03-01,CHN,China,59,9375215.38301177,0.43924829
2019-03-03,CHN,China,58,9375215.38301177,0.43180341
2019-03-09,CHN,China,31,9375215.38301177,0.23079148
2019-03-09,MNG,Mongolia,3,1564663.96587071,0.13382569
2019-03-09,RUS,Russian Federation,15,16980189.53670734,0.06165780
2019-03-11,CHN,China,59,9375215.38301177,0.43924829
2019-03-13,CHN,China,55,9375215.38301177,0.40946875
2019-03-13,LAO,Lao People's Democratic Republic,1,228113.97375204,0.30597605
2019-03-13,VNM,Viet Nam,2,328891.93520732,0.42443980
2019-03-17,CHN,China,44,9375215.38301177,0.32757500
2019-03-17,RUS,Russian Federation,15,16980189.53670734,0.06165780
2019-03-27,BGD,Bangladesh,2,136903.70734661,1.01965702
2019-03-27,BTN,Bhutan,3,40421.32194733,5.18024222
2019-03-27,CHN,China,19,9375215.38301177,0.14145284
2019-03-27,IND,India,18,3150744.48103565,0.39874812
2019-03-27,MMR,Myanmar,17,663159.44731143,1.78924695
